country,year,precip_mm_yr
Austria,1950,947.275
Austria,1951,956.0943359375
Austria,1952,1070.11748046875
Austria,1953,821.54501953125
Austria,1954,1154.9494140625
Austria,1955,1010.754296875
Austria,1956,1019.6556640625
Austria,1957,997.3287109375
Austria,1958,1148.744921875
Austria,1959,994.4931640625
Austria,1960,1085.3869140625
Austria,1961,975.7181640625
Austria,1962,1042.060546875
Austria,1963,904.79375
Austria,1964,1065.76875
Austria,1965,1241.03876953125
Austria,1966,1248.79619140625
Austria,1967,1000.248828125
Austria,1968,954.6068359375
Austria,1969,874.65625
Austria,1970,1174.5587890625
Austria,1971,764.800634765625
Austria,1972,976.576953125
Austria,1973,944.3994140625
Austria,1974,1004.153125
Austria,1975,958.9119140625
Austria,1976,877.6443359375
Austria,1977,928.625
Austria,1978,853.2193359375
Austria,1979,1101.34248046875
Austria,1980,975.545703125
Austria,1981,1028.9556640625
Austria,1982,913.444921875
Austria,1983,890.04375
Austria,1984,888.8630859375
Austria,1985,1053.982421875
Austria,1986,929.60439453125
Austria,1987,1113.2380859375
Austria,1988,1065.819921875
Austria,1989,969.9125
Austria,1990,978.585546875
Austria,1991,972.18564453125
Austria,1992,944.86123046875
Austria,1993,1001.016796875
Austria,1994,932.115625
Austria,1995,1062.614453125
Austria,1996,1086.95556640625
Austria,1997,1038.53564453125
Austria,1998,1050.928125
Austria,1999,1086.06123046875
Austria,2000,1113.0361328125
Austria,2001,1013.6306640625
Austria,2002,1184.142578125
Austria,2003,813.02626953125
Austria,2004,982.1375
Austria,2005,1097.9451171875
Austria,2006,1000.45751953125
Austria,2007,1120.265625
Austria,2008,1010.45
Austria,2009,1141.4451171875
Austria,2010,1033.98310546875
Austria,2011,859.751953125
Austria,2012,1086.5994140625
Austria,2013,1044.61748046875
Austria,2014,1103.76875
Austria,2015,854.4494140625
Austria,2016,1099.8880859375
Austria,2017,1054.665625
Austria,2018,938.2400390625
Austria,2019,992.99873046875
Austria,2020,1063.126953125
Austria,2021,909.7162109375
Austria,2022,878.626171875
Austria,2023,1180.88193359375
Austria,2024,1096.865625
Belgium,1950,883.7377049180328
Belgium,1951,930.3082095286885
Belgium,1952,954.7835553278688
Belgium,1953,584.3148053278688
Belgium,1954,806.6508709016393
Belgium,1955,681.4508196721312
Belgium,1956,825.7983478483607
Belgium,1957,855.5377177254098
Belgium,1958,881.8066086065573
Belgium,1959,562.7655609631148
Belgium,1960,969.5376536885246
Belgium,1961,943.944287909836
Belgium,1962,807.9852715163935
Belgium,1963,676.6048924180328
Belgium,1964,739.6508709016393
Belgium,1965,1076.9394211065573
Belgium,1966,1109.6278176229507
Belgium,1967,760.7902151639345
Belgium,1968,797.9327612704918
Belgium,1969,778.5426485655738
Belgium,1970,844.699987192623
Belgium,1971,626.7967469262295
Belgium,1972,715.9409579918033
Belgium,1973,683.7950819672132
Belgium,1974,1001.2574282786885
Belgium,1975,708.6753970286885
Belgium,1976,511.87378329918033
Belgium,1977,843.804943647541
Belgium,1978,723.3557889344262
Belgium,1979,870.9360911885246
Belgium,1980,878.827868852459
Belgium,1981,1017.6507428278688
Belgium,1982,843.1704661885246
Belgium,1983,807.3639856557377
Belgium,1984,943.9115010245902
Belgium,1985,735.9901383196722
Belgium,1986,887.6753970286885
Belgium,1987,908.6590676229508
Belgium,1988,973.872118340164
Belgium,1989,718.8819800204918
Belgium,1990,753.9803406762295
Belgium,1991,710.2720927254098
Belgium,1992,865.5737704918033
Belgium,1993,867.555712090164
Belgium,1994,869.8146772540983
Belgium,1995,850.9310963114754
