country,year,rr_anomaly_mm
Austria,1950,-78.85501302083333
Austria,1951,-70.03567708333333
Austria,1952,43.98746744791674
Austria,1953,-204.58499348958333
Austria,1954,128.81940104166665
Austria,1955,-15.37571614583328
Austria,1956,-6.47434895833328
Austria,1957,-28.801302083333326
Austria,1958,122.61490885416674
Austria,1959,-31.636848958333303
Austria,1960,59.25690104166665
Austria,1961,-50.41184895833328
Austria,1962,15.930533854166697
Austria,1963,-121.33626302083326
Austria,1964,39.63873697916665
Austria,1965,214.90875651041665
Austria,1966,222.66617838541674
Austria,1967,-25.881184895833258
Austria,1968,-71.52317708333328
Austria,1969,-151.4737630208333
Austria,1970,148.42877604166665
Austria,1971,-261.3293782552083
Austria,1972,-49.55305989583326
Austria,1973,-81.7305989583333
Austria,1974,-21.976888020833258
Austria,1975,-67.21809895833326
Austria,1976,-148.48567708333326
Austria,1977,-97.5050130208333
Austria,1978,-172.91067708333333
Austria,1979,75.21246744791665
Austria,1980,-50.58430989583326
Austria,1981,2.825651041666788
Austria,1982,-112.68509114583333
Austria,1983,-136.08626302083326
Austria,1984,-137.26692708333326
Austria,1985,27.852408854166697
Austria,1986,-96.52561848958328
Austria,1987,87.10807291666674
Austria,1988,39.68990885416679
Austria,1989,-56.21751302083328
Austria,1990,-47.544466145833326
Austria,1991,-53.944368489583326
Austria,1992,-81.26878255208328
Austria,1993,-25.11321614583335
Austria,1994,-94.01438802083328
Austria,1995,36.48444010416665
Austria,1996,60.8255533854167
Austria,1997,12.405631510416697
Austria,1998,24.798111979166606
Austria,1999,59.93121744791665
Austria,2000,86.9061197916667
Austria,2001,-12.499348958333258
Austria,2002,158.0125651041667
Austria,2003,-213.10374348958328
Austria,2004,-43.99251302083326
Austria,2005,71.81510416666674
Austria,2006,-25.672493489583303
Austria,2007,94.1356119791667
Austria,2008,-15.680013020833258
Austria,2009,115.31510416666674
Austria,2010,7.8530924479166515
Austria,2011,-166.3780598958333
Austria,2012,60.46940104166674
Austria,2013,18.487467447916742
Austria,2014,77.63873697916665
Austria,2015,-171.68059895833335
Austria,2016,73.7580729166666
Austria,2017,28.535611979166788
Austria,2018,-87.88997395833326
Austria,2019,-33.13128255208335
Austria,2020,36.9969401041667
Austria,2021,-116.41380208333328
Austria,2022,-147.50384114583335
Austria,2023,154.7519205729168
Austria,2024,70.7356119791666
Belgium,1950,57.63913507513678
Belgium,1951,104.20963968579235
Belgium,1952,128.6849854849728
Belgium,1953,-241.7837645150272
Belgium,1954,-19.447698941256704
Belgium,1955,-144.64775017076488
Belgium,1956,-0.30022199453537723
Belgium,1957,29.439147882513794
Belgium,1958,55.70803876366131
Belgium,1959,-263.33300887978123
Belgium,1960,143.4390838456286
Belgium,1961,117.84571806693998
Belgium,1962,-18.11329832650256
Belgium,1963,-149.49367742486322
Belgium,1964,-86.4476989412567
Belgium,1965,250.84085126366108
Belgium,1966,283.5292477800547
Belgium,1967,-65.30835467896156
Belgium,1968,-28.165808572404217
Belgium,1969,-47.55592127732223
Belgium,1970,18.601417349726944
Belgium,1971,-199.30182291666654
Belgium,1972,-110.15761185109272
Belgium,1973,-142.3034878756829
Belgium,1974,175.15885843579235
Belgium,1975,-117.42317281420753
Belgium,1976,-314.2247865437157
Belgium,1977,17.706373804644954
Belgium,1978,-102.74278090846985
Belgium,1979,44.8375213456286
