country,year,mean_temp_c
Austria,1950,6.972445487976074
Austria,1951,7.060194969177246
Austria,1952,6.0403218269348145
Austria,1953,6.84495210647583
Austria,1954,5.601598262786865
Austria,1955,5.770272254943848
Austria,1956,5.0536699295043945
Austria,1957,6.7033491134643555
Austria,1958,6.483296871185303
Austria,1959,6.836024284362793
Austria,1960,6.334017753601074
Austria,1961,7.084057807922363
Austria,1962,5.21912145614624
Austria,1963,5.625998020172119
Austria,1964,6.180059909820557
Austria,1965,5.491387844085693
Austria,1966,6.607845783233643
Austria,1967,6.6923418045043945
Austria,1968,6.201011657714844
Austria,1969,6.0050554275512695
Austria,1970,5.815986156463623
Austria,1971,6.530683994293213
Austria,1972,6.15401554107666
Austria,1973,6.12000036239624
Austria,1974,6.728123664855957
Austria,1975,6.865954875946045
Austria,1976,6.306605815887451
Austria,1977,6.841949462890625
Austria,1978,5.745878219604492
Austria,1979,6.204455375671387
Austria,1980,5.4734015464782715
Austria,1981,6.3033294677734375
Austria,1982,6.78156042098999
Austria,1983,7.203969955444336
Austria,1984,5.894817352294922
Austria,1985,5.872389316558838
Austria,1986,6.279362201690674
Austria,1987,6.081846714019775
Austria,1988,6.877444267272949
Austria,1989,7.337636947631836
Austria,1990,7.186524868011475
Austria,1991,6.270542144775391
Austria,1992,7.528002738952637
Austria,1993,6.856200695037842
Austria,1994,8.121506690979004
Austria,1995,6.741698741912842
Austria,1996,5.752902984619141
Austria,1997,7.019853115081787
Austria,1998,7.2049150466918945
Austria,1999,7.171985149383545
Austria,2000,7.979793548583984
Austria,2001,7.089486122131348
Austria,2002,7.913408279418945
Austria,2003,7.550942897796631
Austria,2004,6.795036792755127
Austria,2005,6.477555751800537
Austria,2006,7.292157173156738
Austria,2007,7.945442199707031
Austria,2008,7.720180034637451
Austria,2009,7.44038200378418
Austria,2010,6.400193214416504
Austria,2011,7.9624104499816895
Austria,2012,7.596778869628906
Austria,2013,7.298689842224121
Austria,2014,8.482464790344238
Austria,2015,8.46611499786377
Austria,2016,7.877853870391846
Austria,2017,7.7804341316223145
Austria,2018,8.597299575805664
Austria,2019,8.485258102416992
Austria,2020,8.222524642944336
Austria,2021,7.357090950012207
Austria,2022,8.609696388244629
Austria,2023,8.765892028808594
Austria,2024,9.43713665008545
Belgium,1950,9.752961158752441
Belgium,1951,9.715704917907715
Belgium,1952,9.181168556213379
Belgium,1953,9.825294494628906
Belgium,1954,8.66728687286377
Belgium,1955,8.552290916442871
Belgium,1956,7.834760665893555
Belgium,1957,9.462150573730469
Belgium,1958,9.032689094543457
Belgium,1959,10.11837100982666
Belgium,1960,9.247605323791504
Belgium,1961,9.743450164794922
Belgium,1962,7.783332824707031
Belgium,1963,7.636805534362793
Belgium,1964,8.916533470153809
Belgium,1965,8.40353012084961
Belgium,1966,9.338095664978027
Belgium,1967,9.430899620056152
Belgium,1968,8.788025856018066
Belgium,1969,9.011377334594727
Belgium,1970,8.945479393005371
Belgium,1971,9.188716888427734
Belgium,1972,8.706372261047363
Belgium,1973,9.06181526184082
Belgium,1974,9.351619720458984
Belgium,1975,9.371367454528809
Belgium,1976,9.59570598602295
Belgium,1977,9.231982231140137
Belgium,1978,8.511917114257812
Belgium,1979,8.312084197998047
Belgium,1980,8.512252807617188
Belgium,1981,8.878778457641602
Belgium,1982,9.62530517578125
Belgium,1983,9.59579849243164
Belgium,1984,8.917433738708496
Belgium,1985,8.441413879394531
Belgium,1986,8.951742172241211
Belgium,1987,8.797998428344727
Belgium,1988,10.181180000305176
Belgium,1989,10.592193603515625
Belgium,1990,10.25930404663086
Belgium,1991,9.135529518127441
Belgium,1992,9.941595077514648
Belgium,1993,9.478211402893066
Belgium,1994,10.501228332519531
Belgium,1995,10.265009880065918
Belgium,1996,8.466425895690918
Belgium,1997,10.032106399536133
Belgium,1998,9.840408325195312
Belgium,1999,10.73630142211914
Belgium,2000,10.530987739562988
Belgium,2001,10.063199996948242
Belgium,2002,10.656944274902344
Belgium,2003,10.436129570007324
Belgium,2004,10.256414413452148
Belgium,2005,10.559452056884766
Belgium,2006,10.904536247253418
Belgium,2007,11.016210556030273
Belgium,2008,10.20749568939209
Belgium,2009,10.291871070861816
Belgium,2010,9.104947090148926
Belgium,2011,11.001886367797852
Belgium,2012,9.98574447631836
Belgium,2013,9.480107307434082
Belgium,2014,11.200796127319336
Belgium,2015,10.65883731842041
Belgium,2016,10.429954528808594
Belgium,2017,10.74820613861084
Belgium,2018,11.221055030822754
Belgium,2019,10.91519546508789
Belgium,2020,11.55341911315918
Belgium,2021,10.132732391357422
Belgium,2022,11.533419609069824
Belgium,2023,11.592998504638672
Belgium,2024,11.475679397583008
Bulgaria,1950,11.565156936645508
Bulgaria,1951,11.416154861450195
Bulgaria,1952,11.648045539855957
Bulgaria,1953,10.339569091796875
Bulgaria,1954,9.743123054504395
Bulgaria,1955,10.715714454650879
Bulgaria,1956,9.48859977722168
Bulgaria,1957,10.583659172058105
Bulgaria,1958,11.18053913116455
Bulgaria,1959,9.903939247131348
Bulgaria,1960,11.191366195678711
Bulgaria,1961,11.176762580871582
Bulgaria,1962,11.273015022277832
Bulgaria,1963,10.74317455291748
Bulgaria,1964,10.23417854309082
Bulgaria,1965,10.132695198059082
Bulgaria,1966,11.343094825744629
Bulgaria,1967,10.445316314697266
Bulgaria,1968,10.893924713134766
Bulgaria,1969,10.110383987426758
Bulgaria,1970,10.747962951660156
Bulgaria,1971,10.386213302612305
Bulgaria,1972,10.375344276428223
Bulgaria,1973,9.901931762695312
Bulgaria,1974,10.301020622253418
Bulgaria,1975,10.704447746276855
Bulgaria,1976,9.498274803161621
Bulgaria,1977,10.785880088806152
Bulgaria,1978,10.17192268371582
Bulgaria,1979,10.806797981262207
Bulgaria,1980,9.668025016784668
Bulgaria,1981,10.410921096801758
Bulgaria,1982,10.16157341003418
Bulgaria,1983,10.406441688537598
Bulgaria,1984,10.230592727661133
Bulgaria,1985,10.135170936584473
Bulgaria,1986,10.36205005645752
Bulgaria,1987,10.07325267791748
Bulgaria,1988,10.329813003540039
Bulgaria,1989,10.72073745727539
Bulgaria,1990,11.128998756408691
Bulgaria,1991,9.732937812805176
Bulgaria,1992,10.547428131103516
Bulgaria,1993,10.431002616882324
Bulgaria,1994,11.779264450073242
Bulgaria,1995,10.29068374633789
Bulgaria,1996,9.960567474365234
Bulgaria,1997,9.755061149597168
Bulgaria,1998,10.707494735717773
Bulgaria,1999,11.354732513427734
Bulgaria,2000,11.428934097290039
Bulgaria,2001,11.214458465576172
Bulgaria,2002,11.168639183044434
Bulgaria,2003,10.555170059204102
Bulgaria,2004,10.805572509765625
Bulgaria,2005,10.326513290405273
Bulgaria,2006,10.71967601776123
Bulgaria,2007,11.922661781311035
Bulgaria,2008,11.53106689453125
Bulgaria,2009,11.46972942352295
Bulgaria,2010,11.333330154418945
Bulgaria,2011,10.645955085754395
Bulgaria,2012,11.690731048583984
Bulgaria,2013,11.758115768432617
Bulgaria,2014,11.621176719665527
Bulgaria,2015,12.007162094116211
Bulgaria,2016,11.879501342773438
Bulgaria,2017,11.665543556213379
Bulgaria,2018,12.04605484008789
Bulgaria,2019,12.605578422546387
Bulgaria,2020,12.396112442016602
Bulgaria,2021,11.67221450805664
Bulgaria,2022,12.397331237792969
Bulgaria,2023,13.138270378112793
Bulgaria,2024,13.801984786987305
Croatia,1950,11.991301536560059
Croatia,1951,12.012672424316406
Croatia,1952,11.431567192077637
Croatia,1953,10.88747501373291
Croatia,1954,10.10329532623291
Croatia,1955,10.611929893493652
Croatia,1956,9.651270866394043
Croatia,1957,11.079071044921875
Croatia,1958,11.337838172912598
Croatia,1959,10.938921928405762
Croatia,1960,11.026887893676758
Croatia,1961,11.367719650268555
Croatia,1962,9.972039222717285
Croatia,1963,10.178560256958008
Croatia,1964,10.1298828125
Croatia,1965,10.205533981323242
Croatia,1966,11.069876670837402
Croatia,1967,10.898237228393555
Croatia,1968,10.71589469909668
Croatia,1969,10.197879791259766
Croatia,1970,10.462188720703125
Croatia,1971,10.540718078613281
Croatia,1972,10.507387161254883
Croatia,1973,10.371062278747559
Croatia,1974,10.807158470153809
Croatia,1975,11.010454177856445
Croatia,1976,10.014642715454102
Croatia,1977,11.034245491027832
Croatia,1978,9.772134780883789
Croatia,1979,10.855026245117188
Croatia,1980,9.617243766784668
Croatia,1981,10.645854949951172
Croatia,1982,10.941438674926758
Croatia,1983,11.043514251708984
Croatia,1984,10.112530708312988
Croatia,1985,10.146806716918945
Croatia,1986,10.377124786376953
Croatia,1987,10.401762962341309
Croatia,1988,10.986740112304688
Croatia,1989,11.085549354553223
Croatia,1990,11.43973159790039
Croatia,1991,10.342437744140625
Croatia,1992,11.77192497253418
Croatia,1993,11.134706497192383
Croatia,1994,12.324700355529785
Croatia,1995,11.005785942077637
Croatia,1996,10.169352531433105
Croatia,1997,10.928507804870605
Croatia,1998,11.265854835510254
Croatia,1999,11.397411346435547
Croatia,2000,12.4673490524292
Croatia,2001,11.526473999023438
Croatia,2002,11.911694526672363
Croatia,2003,11.540745735168457
Croatia,2004,10.874736785888672
Croatia,2005,10.3103666305542
Croatia,2006,11.275141716003418
Croatia,2007,12.023165702819824
Croatia,2008,11.983282089233398
Croatia,2009,11.863360404968262
Croatia,2010,10.927358627319336
Croatia,2011,11.689532279968262
Croatia,2012,12.033297538757324
Croatia,2013,11.670523643493652
Croatia,2014,12.433773040771484
Croatia,2015,12.180876731872559
Croatia,2016,11.799426078796387
Croatia,2017,11.952841758728027
Croatia,2018,12.460453033447266
Croatia,2019,12.590643882751465
Croatia,2020,12.187265396118164
Croatia,2021,11.800505638122559
Croatia,2022,12.922436714172363
Croatia,2023,13.190156936645508
Croatia,2024,13.84624195098877
Czechia,1950,7.996779918670654
Czechia,1951,8.22514533996582
Czechia,1952,7.150461196899414
Czechia,1953,8.083133697509766
Czechia,1954,6.657886028289795
Czechia,1955,6.622010231018066
Czechia,1956,5.922983169555664
Czechia,1957,7.718278884887695
Czechia,1958,7.441585063934326
Czechia,1959,7.939423084259033
Czechia,1960,7.445798873901367
Czechia,1961,7.969740390777588
Czechia,1962,6.375003337860107
Czechia,1963,6.54106330871582
Czechia,1964,6.965389251708984
Czechia,1965,6.434985160827637
Czechia,1966,7.8837785720825195
Czechia,1967,8.039216041564941
Czechia,1968,7.3254265785217285
Czechia,1969,6.939987659454346
Czechia,1970,6.88238525390625
Czechia,1971,7.533707618713379
Czechia,1972,7.257784366607666
Czechia,1973,7.270616054534912
Czechia,1974,7.96693754196167
Czechia,1975,8.056782722473145
Czechia,1976,7.346290111541748
Czechia,1977,7.652474403381348
Czechia,1978,6.811237335205078
Czechia,1979,7.237083911895752
Czechia,1980,6.325977802276611
Czechia,1981,7.478561878204346
Czechia,1982,7.901626110076904
Czechia,1983,8.297343254089355
Czechia,1984,7.084584712982178
Czechia,1985,6.573895454406738
Czechia,1986,7.275987148284912
Czechia,1987,6.664831638336182
Czechia,1988,7.999581813812256
Czechia,1989,8.455480575561523
Czechia,1990,8.433096885681152
Czechia,1991,7.298422813415527
Czechia,1992,8.597155570983887
Czechia,1993,7.71881628036499
Czechia,1994,8.957752227783203
Czechia,1995,7.926824569702148
Czechia,1996,6.324803829193115
Czechia,1997,7.607059478759766
Czechia,1998,8.202982902526855
Czechia,1999,8.41734504699707
Czechia,2000,9.118449211120605
Czechia,2001,7.86391544342041
Czechia,2002,8.676933288574219
Czechia,2003,8.375710487365723
Czechia,2004,7.876539707183838
Czechia,2005,7.776878833770752
Czechia,2006,8.302032470703125
Czechia,2007,9.077621459960938
Czechia,2008,8.872207641601562
Czechia,2009,8.480875015258789
Czechia,2010,7.260887145996094
Czechia,2011,8.664925575256348
Czechia,2012,8.458137512207031
Czechia,2013,8.092782974243164
Czechia,2014,9.59852123260498
Czechia,2015,9.596542358398438
Czechia,2016,8.809497833251953
Czechia,2017,8.763006210327148
Czechia,2018,9.84832763671875
Czechia,2019,9.766851425170898
Czechia,2020,9.247953414916992
Czechia,2021,8.201881408691406
Czechia,2022,9.38896369934082
Czechia,2023,9.842954635620117
Czechia,2024,10.386617660522461
Denmark,1950,8.39582633972168
Denmark,1951,8.406368255615234
Denmark,1952,7.493575096130371
Denmark,1953,9.03951644897461
Denmark,1954,7.790626525878906
Denmark,1955,7.735299587249756
Denmark,1956,7.070161819458008
Denmark,1957,8.301648139953613
Denmark,1958,7.441996097564697
Denmark,1959,8.781681060791016
Denmark,1960,7.778536319732666
Denmark,1961,8.520936965942383
Denmark,1962,7.046151161193848
Denmark,1963,6.658966541290283
Denmark,1964,7.4530768394470215
Denmark,1965,6.997633457183838
Denmark,1966,7.254734516143799
Denmark,1967,8.47035026550293
Denmark,1968,7.807309627532959
Denmark,1969,7.39495849609375
Denmark,1970,7.062365531921387
Denmark,1971,8.244146347045898
Denmark,1972,7.811715602874756
Denmark,1973,8.217299461364746
Denmark,1974,8.524124145507812
Denmark,1975,8.945638656616211
Denmark,1976,7.707152843475342
Denmark,1977,7.909796237945557
Denmark,1978,7.671385288238525
Denmark,1979,6.771751880645752
Denmark,1980,7.4301557540893555
Denmark,1981,7.387316703796387
Denmark,1982,8.17855453491211
Denmark,1983,8.521284103393555
Denmark,1984,8.094951629638672
Denmark,1985,6.718897342681885
Denmark,1986,7.329775333404541
Denmark,1987,6.906252861022949
Denmark,1988,8.76030158996582
Denmark,1989,9.426487922668457
Denmark,1990,9.511130332946777
Denmark,1991,8.489256858825684
Denmark,1992,9.195801734924316
Denmark,1993,7.913203716278076
Denmark,1994,8.854605674743652
Denmark,1995,8.324668884277344
Denmark,1996,6.942140102386475
Denmark,1997,8.550413131713867
Denmark,1998,8.251492500305176
Denmark,1999,8.92384147644043
Denmark,2000,9.34199333190918
Denmark,2001,8.445995330810547
Denmark,2002,9.428030967712402
Denmark,2003,8.930560111999512
Denmark,2004,8.925498008728027
Denmark,2005,8.985767364501953
Denmark,2006,9.668418884277344
Denmark,2007,9.749738693237305
Denmark,2008,9.626070976257324
Denmark,2009,9.1849946975708
Denmark,2010,7.216891765594482
Denmark,2011,8.91588306427002
Denmark,2012,8.192051887512207
Denmark,2013,8.30737590789795
Denmark,2014,9.962105751037598
Denmark,2015,9.054183006286621
Denmark,2016,8.94245719909668
Denmark,2017,8.855904579162598
Denmark,2018,9.43993091583252
Denmark,2019,9.382514953613281
Denmark,2020,9.789366722106934
Denmark,2021,8.634239196777344
Denmark,2022,9.432089805603027
Denmark,2023,9.258898735046387
Denmark,2024,9.730822563171387
Estonia,1950,5.027711391448975
Estonia,1951,4.845483779907227
Estonia,1952,4.209436416625977
Estonia,1953,5.400416851043701
Estonia,1954,4.849629878997803
Estonia,1955,4.194789409637451
Estonia,1956,3.3246493339538574
Estonia,1957,5.495804309844971
Estonia,1958,4.184701919555664
Estonia,1959,5.766586780548096
Estonia,1960,4.67933464050293
Estonia,1961,6.32727575302124
Estonia,1962,4.4845709800720215
Estonia,1963,4.022606372833252
Estonia,1964,4.963900089263916
Estonia,1965,4.2991790771484375
Estonia,1966,3.929779052734375
Estonia,1967,5.241696357727051
Estonia,1968,4.504786014556885
Estonia,1969,3.5700623989105225
Estonia,1970,4.141570568084717
Estonia,1971,5.289997577667236
Estonia,1972,5.698750019073486
Estonia,1973,5.337974548339844
Estonia,1974,6.110670566558838
Estonia,1975,6.777609825134277
Estonia,1976,3.6372263431549072
Estonia,1977,4.616857528686523
Estonia,1978,3.7381694316864014
Estonia,1979,4.788040637969971
Estonia,1980,4.3284807205200195
Estonia,1981,5.143041133880615
Estonia,1982,5.476072311401367
Estonia,1983,6.225818634033203
Estonia,1984,5.667525768280029
Estonia,1985,3.6268935203552246
Estonia,1986,4.96384859085083
Estonia,1987,3.280888080596924
Estonia,1988,5.667836666107178
Estonia,1989,7.158957481384277
Estonia,1990,6.664863109588623
Estonia,1991,6.280391693115234
Estonia,1992,6.403509140014648
Estonia,1993,5.055532455444336
Estonia,1994,5.279260635375977
Estonia,1995,6.153634071350098
Estonia,1996,4.492056846618652
Estonia,1997,5.752504348754883
Estonia,1998,5.325209617614746
Estonia,1999,6.521570682525635
Estonia,2000,6.946597099304199
Estonia,2001,5.9709367752075195
Estonia,2002,6.172981262207031
Estonia,2003,5.641989707946777
Estonia,2004,5.838474750518799
Estonia,2005,5.83846378326416
Estonia,2006,6.4663987159729
Estonia,2007,6.725306510925293
Estonia,2008,7.074953079223633
Estonia,2009,5.8597517013549805
Estonia,2010,4.877908229827881
Estonia,2011,6.813572883605957
Estonia,2012,5.219009876251221
Estonia,2013,6.478237152099609
Estonia,2014,6.698789119720459
Estonia,2015,7.232501983642578
Estonia,2016,6.323726654052734
Estonia,2017,6.153290271759033
Estonia,2018,6.9290080070495605
Estonia,2019,7.239297866821289
Estonia,2020,8.068192481994629
Estonia,2021,6.373955726623535
Estonia,2022,6.785323619842529
Estonia,2023,6.9879469871521
Estonia,2024,7.912017822265625
Finland,1950,2.1600875854492188
Finland,1951,1.352840542793274
Finland,1952,0.9629801511764526
Finland,1953,2.61599063873291
