country,year,tg_anomaly_c
Austria,1950,-0.495621665318807
Austria,1951,-0.40787218411763515
Austria,1952,-1.427745326360066
Austria,1953,-0.6231150468190512
Austria,1954,-1.866468890508016
Austria,1955,-1.6977948983510336
Austria,1956,-2.4143972237904867
Austria,1957,-0.7647180398305249
Austria,1958,-0.9847702821095785
Austria,1959,-0.6320428689320883
Austria,1960,-1.134049399693807
Austria,1961,-0.38400934537251796
Austria,1962,-2.248945697148641
Austria,1963,-1.842069133122762
Austria,1964,-1.2880072434743246
Austria,1965,-1.9766793092091879
Austria,1966,-0.8602213700612387
Austria,1967,-0.7757253487904867
Austria,1968,-1.2670554955800375
Austria,1969,-1.4630117257436117
Austria,1970,-1.6520809968312582
Austria,1971,-0.9373831590016684
Austria,1972,-1.314051612218221
Austria,1973,-1.348066790898641
Austria,1974,-0.7399434884389242
Austria,1975,-0.6021122773488363
Austria,1976,-1.16146133740743
Austria,1977,-0.6261176904042562
Austria,1978,-1.722188933690389
Austria,1979,-1.2636117776234945
Austria,1980,-1.9946656068166089
Austria,1981,-1.1647376855214437
Austria,1982,-0.686506732304891
Austria,1983,-0.2640971978505453
Austria,1984,-1.5732498009999594
Austria,1985,-1.5956778367360434
Austria,1986,-1.1887049516042074
Austria,1987,-1.3862204392751059
Austria,1988,-0.590622886021932
Austria,1989,-0.1304302056630453
Austria,1990,-0.28154228528340663
Austria,1991,-1.1975250085194906
Austria,1992,0.059935585657755475
Austria,1993,-0.6118664582570394
Austria,1994,0.6534395376841227
Austria,1995,-0.7263684113820394
Austria,1996,-1.7151641686757406
Austria,1997,-0.44821403821309413
Austria,1998,-0.2631521066029858
Austria,1999,-0.2960820039113363
Austria,2000,0.5117263952891031
Austria,2001,-0.3785810311635336
Austria,2002,0.44534112612406407
Austria,2003,0.08287574450174962
Austria,2004,-0.6730303605397543
Austria,2005,-0.9905114014943441
Austria,2006,-0.17590998013814296
Austria,2007,0.47737504641215
Austria,2008,0.25211288134256993
Austria,2009,-0.027685149510701557
Austria,2010,-1.0678739388783773
Austria,2011,0.4943432966868082
Austria,2012,0.128711716334025
Austria,2013,-0.16937731107076015
Austria,2014,1.014397637049357
Austria,2015,0.9980478445688883
Austria,2016,0.40978671709696446
Austria,2017,0.3123669783274323
Austria,2018,1.1292324225107828
Austria,2019,1.017190949122111
Austria,2020,0.7544574896494547
Austria,2021,-0.11097620328267421
Austria,2022,1.1416292349497477
Austria,2023,1.2978248755137125
Austria,2024,1.969069496790568
Belgium,1950,-0.5677124023437514
Belgium,1951,-0.6049686431884744
Belgium,1952,-1.1395050048828104
Belgium,1953,-0.4953790664672848
Belgium,1954,-1.6533866882324215
Belgium,1955,-1.76838264465332
Belgium,1956,-2.4859128952026364
Belgium,1957,-0.8585229873657223
Belgium,1958,-1.2879844665527358
Belgium,1959,-0.2023025512695309
Belgium,1960,-1.0730682373046871
Belgium,1961,-0.5772233963012692
Belgium,1962,-2.53734073638916
Belgium,1963,-2.683868026733398
Belgium,1964,-1.4041400909423825
Belgium,1965,-1.9171434402465817
Belgium,1966,-0.9825778961181637
Belgium,1967,-0.8897739410400387
Belgium,1968,-1.5326477050781246
Belgium,1969,-1.3092962265014627
Belgium,1970,-1.37519416809082
Belgium,1971,-1.1319566726684567
Belgium,1972,-1.6143013000488278
Belgium,1973,-1.2588582992553707
Belgium,1974,-0.9690538406372067
Belgium,1975,-0.9493061065673825
Belgium,1976,-0.7249675750732418
Belgium,1977,-1.0886913299560543
Belgium,1978,-1.8087564468383786
Belgium,1979,-2.008589363098144
Belgium,1980,-1.8084207534790036
Belgium,1981,-1.4418951034545895
Belgium,1982,-0.695368385314941
Belgium,1983,-0.7248750686645504
Belgium,1984,-1.403239822387695
Belgium,1985,-1.8792596817016598
Belgium,1986,-1.3689313888549801
Belgium,1987,-1.5226751327514645
Belgium,1988,-0.13949356079101527
Belgium,1989,0.2715200424194322
Belgium,1990,-0.061369514465331676
Belgium,1991,-1.1851440429687514
Belgium,1992,-0.3790784835815426
Belgium,1993,-0.8424621582031246
Belgium,1994,0.1805547714233402
Belgium,1995,-0.05566368103027308
Belgium,1996,-1.854247665405273
Belgium,1997,-0.28856716156005824
Belgium,1998,-0.48026523590087855
Belgium,1999,0.4156278610229496
Belgium,2000,0.21031417846679723
Belgium,2001,-0.25747356414794886
Belgium,2002,0.3362707138061527
Belgium,2003,0.11545600891113317
Belgium,2004,-0.06425914764404261
Belgium,2005,0.23877849578857457
Belgium,2006,0.5838626861572269
Belgium,2007,0.6955369949340806
Belgium,2008,-0.11317787170410121
Belgium,2009,-0.028802490234374645
Belgium,2010,-1.2157264709472653
Belgium,2011,0.6812128067016605
Belgium,2012,-0.3349290847778317
Belgium,2013,-0.840566253662109
Belgium,2014,0.8801225662231449
Belgium,2015,0.3381637573242191
Belgium,2016,0.1092809677124027
Belgium,2017,0.4275325775146488
Belgium,2018,0.9003814697265629
Belgium,2019,0.5945219039916996
Belgium,2020,1.2327455520629886
Belgium,2021,-0.18794116973876918
